issn_l,earliest_year,pub_type,n,oa_articles
2471-2825,2020,core,33,0
2471-2825,2020,all,48,0
2471-2825,2021,core,67,0
2471-2825,2021,all,75,0
2471-2825,2022,core,53,0
2471-2825,2022,all,65,0
2471-2825,2023,core,45,0
2471-2825,2023,all,50,0
2471-285X,2019,core,37,1
2471-285X,2019,all,41,1
2471-285X,2020,core,56,1
2471-285X,2020,all,60,1
2471-285X,2021,core,58,3
2471-285X,2021,all,60,3
2471-285X,2022,core,118,8
2471-285X,2022,all,122,8
2471-285X,2023,core,247,5
2471-285X,2023,all,251,5
2471-4607,2020,core,6,0
2471-4607,2020,all,7,0
2471-4607,2021,core,1,0
2471-4607,2021,all,1,0
2471-4607,2022,core,14,3
2471-4607,2022,all,15,3
2471-4607,2023,core,31,4
2471-4607,2023,all,32,4
2471-5638,2019,core,54,1
2471-5638,2019,all,54,1
2471-5638,2020,core,73,4
2471-5638,2020,all,78,4
2471-5638,2021,core,72,5
2471-5638,2021,all,74,5
2471-5638,2022,core,93,6
2471-5638,2022,all,97,6
2471-5638,2023,core,100,26
2471-5638,2023,all,101,26
2472-0038,2019,core,31,0
2472-0038,2019,all,46,1
2472-0038,2020,core,35,0
2472-0038,2020,all,58,0
2472-0038,2021,core,36,1
2472-0038,2021,all,53,1
2472-0038,2022,core,19,0
2472-0038,2022,all,44,0
2472-0038,2023,core,36,0
2472-0038,2023,all,77,1
2472-1727,2019,core,124,6
2472-1727,2019,all,141,6
2472-1727,2020,core,127,16
2472-1727,2020,all,146,16
2472-1727,2021,core,111,10
2472-1727,2021,all,121,10
2472-1727,2022,core,102,18
2472-1727,2022,all,110,18
2472-1727,2023,core,139,36
2472-1727,2023,all,150,36
2472-1735,2019,core,11,0
2472-1735,2019,all,16,0
2472-1735,2020,core,11,0
2472-1735,2020,all,13,0
2472-1735,2021,core,15,2
2472-1735,2021,all,16,2
2472-1735,2022,core,23,5
2472-1735,2022,all,23,5
2472-1735,2023,core,19,2
2472-1735,2023,all,19,2
2472-1832,2019,core,9,0
2472-1832,2019,all,9,0
2472-1832,2020,core,17,2
2472-1832,2020,all,18,2
2472-1832,2021,core,20,1
2472-1832,2021,all,23,1
2472-1832,2022,core,16,2
2472-1832,2022,all,17,2
2472-1832,2023,core,23,5
2472-1832,2023,all,25,5
2472-3452,2019,core,256,8
2472-3452,2019,all,260,8
2472-3452,2020,core,223,6
2472-3452,2020,all,228,7
2472-3452,2021,core,309,20
2472-3452,2021,all,313,20
2472-3452,2022,core,256,22
2472-3452,2022,all,263,23
2472-3452,2023,core,239,47
2472-3452,2023,all,243,48
2472-5390,2019,core,46,1
2472-5390,2019,all,54,1
2472-5390,2020,core,49,2
2472-5390,2020,all,74,7
2472-5390,2021,core,198,8
2472-5390,2021,all,237,10
2472-5390,2022,core,92,17
2472-5390,2022,all,101,18
2472-5390,2023,core,70,17
2472-5390,2023,all,89,23
2472-5579,2019,core,28,1
2472-5579,2019,all,28,1
2472-5579,2020,core,28,0
2472-5579,2020,all,28,0
2472-5579,2021,core,18,3
2472-5579,2021,all,18,3
2472-5579,2022,core,27,1
2472-5579,2022,all,27,1
2472-5579,2023,core,37,2
2472-5579,2023,all,37,2
2472-5625,2019,core,32,1
2472-5625,2019,all,32,1
2472-5625,2020,core,56,0
2472-5625,2020,all,57,0
2472-5625,2021,core,70,1
2472-5625,2021,all,71,2
2472-5625,2022,core,63,3
2472-5625,2022,all,63,3
2472-5625,2023,core,100,7
2472-5625,2023,all,101,7
2472-5838,2019,core,14,1
2472-5838,2019,all,15,1
2472-5838,2020,core,21,0
2472-5838,2020,all,22,0
2472-5838,2021,core,20,3
2472-5838,2021,all,22,3
2472-5838,2022,core,19,1
2472-5838,2022,all,20,1
2472-5838,2023,core,16,3
2472-5838,2023,all,16,3
2472-5854,2019,core,86,4
2472-5854,2019,all,88,4
2472-5854,2020,core,111,4
2472-5854,2020,all,113,4
2472-5854,2021,core,77,2
2472-5854,2021,all,77,2
2472-5854,2022,core,88,4
2472-5854,2022,all,88,4
2472-5854,2023,core,174,10
2472-5854,2023,all,176,10
2472-9876,2019,core,15,0
2472-9876,2019,all,25,0
2472-9876,2020,core,21,2
2472-9876,2020,all,30,2
2472-9876,2021,core,19,1
2472-9876,2021,all,30,1
2472-9876,2022,core,25,1
2472-9876,2022,all,40,1
2472-9876,2023,core,11,0
2472-9876,2023,all,11,0
2473-0580,2019,core,11,0
2473-0580,2019,all,11,0
2473-0580,2020,core,16,0
2473-0580,2020,all,17,0
2473-0580,2021,core,18,3
2473-0580,2021,all,19,3
2473-0580,2022,core,23,2
2473-0580,2022,all,23,2
2473-0580,2023,core,21,2
2473-0580,2023,all,22,2
2473-2400,2019,core,88,1
2473-2400,2019,all,92,1
2473-2400,2020,core,81,5
2473-2400,2020,all,93,5
2473-2400,2021,core,160,7
2473-2400,2021,all,171,7
2473-2400,2022,core,167,8
2473-2400,2022,all,172,8
2473-2400,2023,core,212,12
2473-2400,2023,all,216,13
2473-2842,2019,core,16,1
2473-2842,2019,all,16,1
2473-2842,2020,core,23,6
2473-2842,2020,all,23,6
2473-2842,2021,core,24,0
2473-2842,2021,all,24,0
2473-2842,2022,core,41,10
2473-2842,2022,all,41,10
2473-2842,2023,core,50,10
2473-2842,2023,all,51,10
2473-3938,2019,core,46,1
2473-3938,2019,all,54,1
2473-3938,2020,core,50,2
2473-3938,2020,all,55,4
2473-3938,2021,core,48,1
2473-3938,2021,all,51,1
2473-3938,2022,core,105,30
2473-3938,2022,all,111,30
2473-3938,2023,core,71,29
2473-3938,2023,all,75,29
2473-4276,2019,core,106,39
2473-4276,2019,all,114,42
2473-4276,2020,core,66,30
2473-4276,2020,all,73,32
2473-4276,2021,core,119,37
2473-4276,2021,all,135,37
2473-4276,2022,core,93,25
2473-4276,2022,all,111,25
2473-4276,2023,core,122,36
2473-4276,2023,all,129,36
2473-4284,2019,core,199,52
2473-4284,2019,all,226,58
2473-4284,2020,core,89,23
2473-4284,2020,all,106,24
2473-4284,2021,core,165,62
2473-4284,2021,all,186,63
2473-4284,2022,core,86,41
2473-4284,2022,all,100,41
2473-4284,2023,core,1,0
2473-4284,2023,all,2,0
2474-1264,2019,core,63,2
2474-1264,2019,all,72,2
2474-1264,2020,core,73,2
2474-1264,2020,all,82,2
2474-1264,2021,core,79,6
2474-1264,2021,all,89,6
2474-1264,2022,core,78,4
2474-1264,2022,all,84,4
2474-1264,2023,core,85,14
2474-1264,2023,all,93,14
2474-1604,2019,core,17,0
2474-1604,2019,all,17,0
2474-1604,2020,core,13,0
2474-1604,2020,all,13,0
2474-1604,2021,core,13,1
2474-1604,2021,all,14,1
2474-1604,2022,core,15,3
2474-1604,2022,all,15,3
2474-1604,2023,core,13,4
2474-1604,2023,all,13,4
2474-5332,2019,core,25,0
2474-5332,2019,all,31,0
2474-5332,2020,core,50,9
2474-5332,2020,all,58,9
2474-5332,2021,core,50,2
2474-5332,2021,all,59,2
2474-5332,2022,core,72,7
2474-5332,2022,all,85,7
2474-5332,2023,core,47,4
2474-5332,2023,all,56,4
2474-5871,2019,core,11,11
2474-5871,2019,all,14,14
2474-5871,2020,core,39,39
2474-5871,2020,all,39,39
2474-5871,2021,core,61,59
2474-5871,2021,all,64,62
2474-5871,2022,core,29,29
2474-5871,2022,all,38,38
2474-5871,2023,core,14,14
2474-5871,2023,all,17,17
2474-9567,2019,core,37,0
2474-9567,2019,all,37,0
2474-9567,2020,core,168,0
2474-9567,2020,all,168,0
2474-9567,2021,core,193,0
2474-9567,2021,all,193,0
2474-9567,2022,core,155,0
2474-9567,2022,all,155,0
2474-9567,2023,core,199,25
2474-9567,2023,all,199,25
2475-0158,2019,core,26,0
2475-0158,2019,all,31,0
2475-0158,2020,core,30,1
2475-0158,2020,all,35,1
2475-0158,2021,core,31,3
2475-0158,2021,all,37,3
2475-0158,2022,core,21,0
2475-0158,2022,all,25,0
2475-0158,2023,core,27,4
2475-0158,2023,all,33,4
2475-143X,2019,core,30,1
2475-143X,2019,all,35,1
2475-143X,2020,core,30,0
2475-143X,2020,all,37,0
2475-143X,2021,core,25,3
2475-143X,2021,all,31,3
2475-143X,2022,core,27,1
2475-143X,2022,all,33,1
2475-143X,2023,core,32,4
2475-143X,2023,all,39,4
2475-1456,2019,core,181,6
2475-1456,2019,all,182,6
2475-1456,2020,core,182,9
2475-1456,2020,all,183,9
2475-1456,2021,core,375,20
2475-1456,2021,all,375,20
2475-1456,2022,core,585,33
2475-1456,2022,all,590,33
2475-1456,2023,core,692,65
2475-1456,2023,all,695,65
2475-1472,2019,core,159,5
2475-1472,2019,all,159,5
2475-1472,2020,core,165,7
2475-1472,2020,all,166,7
2475-1472,2021,core,140,9
2475-1472,2021,all,140,9
2475-1472,2022,core,185,8
2475-1472,2022,all,185,8
2475-1472,2023,core,431,37
2475-1472,2023,all,432,37
2475-1502,2019,core,38,4
2475-1502,2019,all,41,4
2475-1502,2020,core,37,0
2475-1502,2020,all,38,0
2475-1502,2021,core,44,3
2475-1502,2021,all,46,3
2475-1502,2022,core,81,9
2475-1502,2022,all,83,9
2475-1502,2023,core,102,8
2475-1502,2023,all,103,8
2475-1979,2019,core,10,1
2475-1979,2019,all,10,1
2475-1979,2020,core,14,1
2475-1979,2020,all,14,1
2475-1979,2021,core,15,1
2475-1979,2021,all,16,1
2475-1979,2022,core,15,0
2475-1979,2022,all,15,0
2475-1979,2023,core,19,1
2475-1979,2023,all,19,1
2475-5303,2019,core,16,0
2475-5303,2019,all,19,0
2475-5303,2020,core,22,0
2475-5303,2020,all,27,2
2475-5303,2021,core,22,3
2475-5303,2021,all,24,3
2475-5303,2022,core,20,2
2475-5303,2022,all,23,2
2475-5303,2023,core,22,3
2475-5303,2023,all,42,3
2475-7241,2019,core,108,0
2475-7241,2019,all,139,0
2475-7241,2020,core,136,18
2475-7241,2020,all,179,25
2475-7241,2021,core,173,27
2475-7241,2021,all,208,32
2475-7241,2022,core,132,17
2475-7241,2022,all,163,19
2475-7241,2023,core,99,11
2475-7241,2023,all,134,15
2475-8817,2019,core,36,0
2475-8817,2019,all,37,0
2475-8817,2020,core,36,1
2475-8817,2020,all,39,1
2475-8817,2021,core,44,11
2475-8817,2021,all,46,11
2475-8817,2022,core,28,6
2475-8817,2022,all,29,6
2475-8817,2023,core,29,10
2475-8817,2023,all,31,10
2475-9953,2019,core,752,54
2475-9953,2019,all,758,54
2475-9953,2020,core,712,61
2475-9953,2020,all,715,61
2475-9953,2021,core,709,62
2475-9953,2021,all,717,62
2475-9953,2022,core,689,50
2475-9953,2022,all,694,51
2475-9953,2023,core,620,69
2475-9953,2023,all,623,70
2476-1249,2019,core,3,0
2476-1249,2019,all,5,0
2476-1249,2021,core,14,0
2476-1249,2021,all,31,0
2476-1249,2022,core,34,0
2476-1249,2022,all,58,0
2476-1249,2023,core,51,3
2476-1249,2023,all,53,3
2476-1508,2019,core,8,0
2476-1508,2019,all,53,1
2476-1508,2020,core,20,1
2476-1508,2020,all,56,2
2476-1508,2021,core,71,2
2476-1508,2021,all,92,3
2476-1508,2022,core,23,3
2476-1508,2022,all,56,5
2476-1508,2023,core,97,0
2476-1508,2023,all,127,2
2498-5473,2019,core,21,8
2498-5473,2019,all,22,8
2498-5473,2020,core,20,14
2498-5473,2020,all,22,14
2498-5473,2021,core,8,5
2498-5473,2021,all,8,5
2498-5473,2022,core,17,10
2498-5473,2022,all,19,11
2498-5473,2023,core,17,9
2498-5473,2023,all,19,9
2498-602X,2019,core,34,6
2498-602X,2019,all,34,6
2498-602X,2020,core,43,15
2498-602X,2020,all,43,15
2498-602X,2021,core,33,8
2498-602X,2021,all,33,8
2498-602X,2022,core,29,12
2498-602X,2022,all,33,12
2498-602X,2023,core,26,10
2498-602X,2023,all,27,10
2504-2092,2019,core,41,4
2504-2092,2019,all,49,4
2504-2092,2020,core,42,8
2504-2092,2020,all,54,11
2504-2092,2021,core,61,9
2504-2092,2021,all,71,9
2504-2092,2022,core,46,9
2504-2092,2022,all,51,9
2504-2092,2023,core,56,11
2504-2092,2023,all,60,11
2509-2723,2019,core,69,7
2509-2723,2019,all,70,7
2509-2723,2020,core,110,27
2509-2723,2020,all,125,32
2509-2723,2021,core,186,71
2509-2723,2021,all,194,71
2509-2723,2022,core,167,76
2509-2723,2022,all,181,78
2509-2723,2023,core,341,184
2509-2723,2023,all,349,188
2509-3150,2019,core,51,3
2509-3150,2019,all,54,3
2509-3150,2020,core,49,22
2509-3150,2020,all,51,24
2509-3150,2021,core,49,43
2509-3150,2021,all,56,49
2509-3150,2022,core,64,56
2509-3150,2022,all,71,61
2509-3150,2023,core,72,56
2509-3150,2023,all,81,60
2509-3304,2019,core,37,4
2509-3304,2019,all,41,5
2509-3304,2020,core,40,9
2509-3304,2020,all,41,10
2509-3304,2021,core,39,15
2509-3304,2021,all,40,15
2509-3304,2022,core,36,19
2509-3304,2022,all,40,20
2509-3304,2023,core,24,10
2509-3304,2023,all,27,10
2509-3312,2019,core,37,0
2509-3312,2019,all,37,0
2509-3312,2020,core,41,0
2509-3312,2020,all,41,0
2509-3312,2021,core,32,0
2509-3312,2021,all,34,0
2509-3312,2022,core,38,0
2509-3312,2022,all,38,0
2509-3312,2023,core,35,0
2509-3312,2023,all,35,0
2509-4246,2019,core,38,0
2509-4246,2019,all,40,0
2509-4246,2020,core,34,3
2509-4246,2020,all,35,3
2509-4246,2021,core,58,3
2509-4246,2021,all,62,3
2509-4246,2022,core,75,4
2509-4246,2022,all,76,4
2509-4246,2023,core,110,12
2509-4246,2023,all,113,12
2509-4696,2019,core,31,0
2509-4696,2019,all,37,1
2509-4696,2020,core,29,0
2509-4696,2020,all,33,0
2509-4696,2021,core,37,2
2509-4696,2021,all,42,2
2509-4696,2022,core,38,0
2509-4696,2022,all,40,0
2509-4696,2023,core,57,2
2509-4696,2023,all,59,2
2509-498X,2019,core,21,2
2509-498X,2019,all,24,2
2509-498X,2020,core,20,5
2509-498X,2020,all,20,5
2509-498X,2021,core,25,8
2509-498X,2021,all,25,8
2509-498X,2022,core,18,6
2509-498X,2022,all,19,7
2509-498X,2023,core,26,11
2509-498X,2023,all,26,11
2509-7954,2019,core,39,0
2509-7954,2019,all,41,0
2509-7954,2020,core,35,3
2509-7954,2020,all,38,4
2509-7954,2021,core,41,10
2509-7954,2021,all,43,10
2509-7954,2022,core,46,3
2509-7954,2022,all,51,3
2509-7954,2023,core,61,2
2509-7954,2023,all,64,2
2509-7970,2019,core,7,0
2509-7970,2019,all,7,0
2509-7970,2020,core,9,0
2509-7970,2020,all,10,0
2509-7970,2021,core,14,3
2509-7970,2021,all,14,3
2509-7970,2022,core,14,1
2509-7970,2022,all,14,1
2509-7970,2023,core,14,3
2509-7970,2023,all,14,3
2509-8829,2019,core,18,1
2509-8829,2019,all,18,1
2509-8829,2020,core,27,7
2509-8829,2020,all,27,7
2509-8829,2021,core,24,5
2509-8829,2021,all,26,5
2509-8829,2022,core,35,5
2509-8829,2022,all,35,5
2509-8829,2023,core,30,6
2509-8829,2023,all,32,7
2509-9434,2019,core,49,7
2509-9434,2019,all,49,7
2509-9434,2020,core,54,19
2509-9434,2020,all,55,20
2509-9434,2021,core,58,24
2509-9434,2021,all,58,24
2509-9434,2022,core,60,12
2509-9434,2022,all,60,12
2509-9434,2023,core,50,11
2509-9434,2023,all,54,12
2509-9515,2019,core,14,0
2509-9515,2019,all,14,0
2509-9515,2020,core,17,4
2509-9515,2020,all,19,4
2509-9515,2021,core,18,7
2509-9515,2021,all,19,7
2509-9515,2022,core,12,7
2509-9515,2022,all,13,8
2509-9515,2023,core,18,11
2509-9515,2023,all,18,11
2509-9949,2019,core,60,1
2509-9949,2019,all,60,1
2509-9949,2020,core,63,3
2509-9949,2020,all,67,3
2509-9949,2021,core,76,1
2509-9949,2021,all,76,1
2509-9949,2022,core,62,2
2509-9949,2022,all,63,2
2509-9949,2023,core,73,4
2509-9949,2023,all,75,4
2509-9965,2019,core,22,0
2509-9965,2019,all,24,0
2509-9965,2020,core,23,11
2509-9965,2020,all,24,11
2509-9965,2021,core,25,5
2509-9965,2021,all,27,5
2509-9965,2022,core,23,1
2509-9965,2022,all,25,1
2509-9965,2023,core,35,5
2509-9965,2023,all,36,5
2510-1579,2019,core,129,2
2510-1579,2019,all,130,2
2510-1579,2020,core,163,7
2510-1579,2020,all,165,7
2510-1579,2021,core,147,3
2510-1579,2021,all,150,3
2510-1579,2022,core,150,4
2510-1579,2022,all,151,5
2510-1579,2023,core,174,8
2510-1579,2023,all,176,8
2510-2044,2019,core,11,6
2510-2044,2019,all,15,8
2510-2044,2020,core,8,5
2510-2044,2020,all,9,5
2510-2044,2021,core,25,24
2510-2044,2021,all,26,25
2510-2044,2022,core,14,12
2510-2044,2022,all,17,12
2510-2044,2023,core,14,14
2510-2044,2023,all,14,14
2510-2265,2019,core,19,2
2510-2265,2019,all,21,2
2510-2265,2020,core,29,7
2510-2265,2020,all,32,8
2510-2265,2021,core,37,8
2510-2265,2021,all,50,9
2510-2265,2022,core,35,2
2510-2265,2022,all,44,2
2510-2265,2023,core,27,1
2510-2265,2023,all,36,2
2510-3768,2019,core,11,1
2510-3768,2019,all,12,2
2510-3768,2020,core,28,6
2510-3768,2020,all,28,6
2510-3768,2021,core,40,7
2510-3768,2021,all,40,7
2510-3768,2022,core,40,1
2510-3768,2022,all,40,1
2510-3768,2023,core,45,4
2510-3768,2023,all,47,5
2511-2104,2019,core,95,0
2511-2104,2019,all,99,0
2511-2104,2020,core,162,2
2511-2104,2020,all,168,2
2511-2104,2021,core,278,7
2511-2104,2021,all,286,7
2511-2104,2022,core,349,3
2511-2104,2022,all,359,4
2511-2104,2023,core,536,14
2511-2104,2023,all,546,14
2511-249X,2019,core,9,5
2511-249X,2019,all,9,5
2511-249X,2020,core,7,3
2511-249X,2020,all,7,3
2511-249X,2021,core,16,1
2511-249X,2021,all,19,1
2511-249X,2022,core,32,12
2511-249X,2022,all,32,12
2511-249X,2023,core,35,21
2511-249X,2023,all,42,25
2511-3658,2019,core,23,0
2511-3658,2019,all,40,0
2511-3658,2020,core,20,0
2511-3658,2020,all,28,0
2511-3658,2021,core,25,0
2511-3658,2021,all,46,0
2511-3658,2022,core,23,0
2511-3658,2022,all,42,0
2511-3658,2023,core,28,0
2511-3658,2023,all,41,0
2511-9044,2019,core,50,2
2511-9044,2019,all,52,2
2511-9044,2020,core,105,35
2511-9044,2020,all,108,35
2511-9044,2021,core,98,21
2511-9044,2021,all,99,21
2511-9044,2022,core,85,23
2511-9044,2022,all,87,23
2511-9044,2023,core,179,63
2511-9044,2023,all,180,63
2512-2789,2019,core,17,1
2512-2789,2019,all,17,1
2512-2789,2020,core,27,17
2512-2789,2020,all,32,19
2512-2789,2021,core,24,14
2512-2789,2021,all,28,16
2512-2789,2022,core,28,18
2512-2789,2022,all,37,26
2512-2789,2023,core,32,19
2512-2789,2023,all,36,21
2512-8450,2020,core,15,0
2512-8450,2020,all,16,0
2512-8450,2021,core,17,3
2512-8450,2021,all,18,3
2512-8450,2022,core,18,8
2512-8450,2022,all,22,8
2512-8450,2023,core,17,5
2512-8450,2023,all,17,5
2513-0390,2019,core,181,11
2513-0390,2019,all,185,11
2513-0390,2020,core,137,26
2513-0390,2020,all,141,26
2513-0390,2021,core,168,20
2513-0390,2021,all,171,20
2513-0390,2022,core,221,33
2513-0390,2022,all,223,33
2513-0390,2023,core,254,56
2513-0390,2023,all,259,56
2513-8502,2019,core,27,0
2513-8502,2019,all,31,0
2513-8502,2020,core,27,0
2513-8502,2020,all,30,0
2513-8502,2021,core,25,0
2513-8502,2021,all,25,0
2513-8502,2022,core,25,1
2513-8502,2022,all,26,1
2513-8502,2023,core,24,0
2513-8502,2023,all,28,0
2514-7641,2019,core,12,1
2514-7641,2019,all,14,1
2514-7641,2020,core,8,0
2514-7641,2020,all,9,0
2514-7641,2021,core,12,0
2514-7641,2021,all,14,1
2514-7641,2022,core,7,0
2514-7641,2022,all,7,0
2514-7641,2023,core,12,2
2514-7641,2023,all,15,2
2514-8486,2019,core,47,7
2514-8486,2019,all,48,7
2514-8486,2020,core,56,5
2514-8486,2020,all,57,5
2514-8486,2021,core,83,22
2514-8486,2021,all,85,23
2514-8486,2022,core,128,41
2514-8486,2022,all,130,41
2514-8486,2023,core,160,60
2514-8486,2023,all,167,63
2514-9288,2019,core,31,0
2514-9288,2019,all,31,0
2514-9288,2020,core,39,1
2514-9288,2020,all,41,1
2514-9288,2021,core,35,0
2514-9288,2021,all,35,0
2514-9288,2022,core,40,3
2514-9288,2022,all,40,3
2514-9288,2023,core,57,1
2514-9288,2023,all,57,1
2514-9326,2019,core,17,0
2514-9326,2019,all,17,0
2514-9326,2020,core,24,0
2514-9326,2020,all,24,0
2514-9326,2021,core,16,0
2514-9326,2021,all,16,0
2514-9326,2022,core,12,0
2514-9326,2022,all,12,0
2514-9326,2023,core,23,6
2514-9326,2023,all,23,6
2514-9342,2019,core,39,0
2514-9342,2019,all,40,0
2514-9342,2020,core,65,0
2514-9342,2020,all,66,0
2514-9342,2021,core,26,1
2514-9342,2021,all,26,1
2514-9342,2022,core,116,8
2514-9342,2022,all,116,8
2514-9342,2023,core,189,3
2514-9342,2023,all,189,3
2514-9369,2019,core,41,0
2514-9369,2019,all,41,0
2514-9369,2020,core,33,0
2514-9369,2020,all,33,0
2514-9369,2021,core,36,0
2514-9369,2021,all,36,0
2514-9369,2022,core,54,0
2514-9369,2022,all,54,0
2514-9369,2023,core,69,0
2514-9369,2023,all,72,0
2514-9407,2019,core,13,0
2514-9407,2019,all,15,0
2514-9407,2020,core,15,1
2514-9407,2020,all,17,1
2514-9407,2021,core,14,0
2514-9407,2021,all,15,0
2514-9407,2022,core,5,0
2514-9407,2022,all,5,0
2514-9407,2023,core,24,3
2514-9407,2023,all,24,3
2514-9792,2019,core,45,0
2514-9792,2019,all,46,0
2514-9792,2020,core,34,1
2514-9792,2020,all,36,1
2514-9792,2021,core,16,1
2514-9792,2021,all,17,1
2514-9792,2022,core,100,2
2514-9792,2022,all,101,2
2514-9792,2023,core,204,4
2514-9792,2023,all,205,4
2515-0731,2019,core,8,0
2515-0731,2019,all,8,0
2515-0731,2020,core,10,0
2515-0731,2020,all,10,0
2515-0731,2021,core,20,1
2515-0731,2021,all,21,1
2515-0731,2022,core,14,5
2515-0731,2022,all,14,5
2515-0731,2023,core,8,5
2515-0731,2023,all,8,5
2515-1088,2019,core,21,2
2515-1088,2019,all,25,2
2515-1088,2020,core,24,0
2515-1088,2020,all,28,0
2515-1088,2021,core,26,1
2515-1088,2021,all,29,1
2515-1088,2022,core,24,6
2515-1088,2022,all,27,6
2515-1088,2023,core,20,0
2515-1088,2023,all,29,1
2515-1274,2019,core,20,2
2515-1274,2019,all,20,2
2515-1274,2020,core,17,2
2515-1274,2020,all,20,3
2515-1274,2021,core,39,3
2515-1274,2021,all,40,3
2515-1274,2022,core,37,6
2515-1274,2022,all,39,6
2515-1274,2023,core,32,7
2515-1274,2023,all,34,7
2515-1991,2019,core,49,9
2515-1991,2019,all,73,11
2515-1991,2020,core,47,10
2515-1991,2020,all,71,13
2515-1991,2021,core,51,17
2515-1991,2021,all,76,21
2515-1991,2022,core,66,18
2515-1991,2022,all,85,20
2515-1991,2023,core,37,11
2515-1991,2023,all,55,15
2515-3870,2019,core,10,1
2515-3870,2019,all,12,2
2515-3870,2020,core,13,0
2515-3870,2020,all,15,2
2515-3870,2021,core,9,0
2515-3870,2021,all,10,0
2515-3870,2022,core,8,0
2515-3870,2022,all,10,0
2515-3870,2023,core,7,0
2515-3870,2023,all,8,0
2515-4184,2019,core,37,6
2515-4184,2019,all,38,7
2515-4184,2020,core,48,12
2515-4184,2020,all,49,13
2515-4184,2021,core,86,16
2515-4184,2021,all,90,18
2515-4184,2022,core,88,7
2515-4184,2022,all,92,7
2515-4184,2023,core,57,9
2515-4184,2023,all,63,12
2515-446X,2019,core,40,4
2515-446X,2019,all,88,7
2515-446X,2020,core,30,9
2515-446X,2020,all,70,11
2515-446X,2021,core,65,17
2515-446X,2021,all,127,23
2515-446X,2022,core,63,25
2515-446X,2022,all,80,29
2515-446X,2023,core,87,35
2515-446X,2023,all,111,42
2515-6918,2019,core,12,0
2515-6918,2019,all,12,0
2515-6918,2020,core,12,0
2515-6918,2020,all,14,0
2515-6918,2021,core,12,0
2515-6918,2021,all,12,0
2515-6918,2022,core,10,0
2515-6918,2022,all,11,0
2515-6918,2023,core,9,0
2515-6918,2023,all,10,0
2516-0435,2019,core,30,3
2516-0435,2019,all,43,3
2516-0435,2020,core,27,2
2516-0435,2020,all,42,10
2516-0435,2021,core,31,6
2516-0435,2021,all,45,6
2516-0435,2022,core,31,2
2516-0435,2022,all,41,4
2516-0435,2023,core,34,5
2516-0435,2023,all,44,7
2516-1032,2019,core,21,4
2516-1032,2019,all,22,4
2516-1032,2020,core,9,4
2516-1032,2020,all,10,4
2516-1032,2021,core,20,9
2516-1032,2021,all,20,9
2516-1032,2022,core,17,4
2516-1032,2022,all,17,4
2516-1032,2023,core,13,5
2516-1032,2023,all,13,5
2516-1067,2019,core,58,3
2516-1067,2019,all,59,3
2516-1067,2020,core,57,7
2516-1067,2020,all,57,7
2516-1067,2021,core,31,3
2516-1067,2021,all,31,3
2516-1067,2022,core,15,2
2516-1067,2022,all,15,2
2516-1075,2019,core,32,3
2516-1075,2019,all,33,3
2516-1075,2020,core,29,8
2516-1075,2020,all,29,8
2516-1075,2021,core,47,17
2516-1075,2021,all,47,17
2516-1075,2022,core,54,20
2516-1075,2022,all,56,22
2516-1075,2023,core,53,30
2516-1075,2023,all,53,30
2516-5984,2022,core,20,0
2516-5984,2022,all,21,0
2516-5984,2023,core,18,0
2516-5984,2023,all,19,0
2516-6026,2019,core,17,0
2516-6026,2019,all,23,0
2516-6026,2020,core,25,10
2516-6026,2020,all,30,12
2516-6026,2021,core,22,3
2516-6026,2021,all,26,3
2516-6026,2022,core,22,2
2516-6026,2022,all,27,2
2516-6026,2023,core,20,4
2516-6026,2023,all,26,4
2517-7516,2019,core,46,0
2517-7516,2019,all,46,0
2517-7516,2020,core,46,0
2517-7516,2020,all,46,0
2517-7516,2021,core,46,0
2517-7516,2021,all,46,0
2517-7516,2022,core,48,3
2517-7516,2022,all,49,4
2517-7516,2023,core,45,0
2517-7516,2023,all,45,0
2520-100X,2019,core,21,6
2520-100X,2019,all,22,6
2520-100X,2020,core,22,4
2520-100X,2020,all,24,4
2520-100X,2021,core,21,7
2520-100X,2021,all,22,8
2520-100X,2022,core,19,8
2520-100X,2022,all,24,9
2520-100X,2023,core,23,8
2520-100X,2023,all,25,9
2520-1131,2019,core,78,1
2520-1131,2019,all,154,4
2520-1131,2020,core,94,0
2520-1131,2020,all,161,1
2520-1131,2021,core,104,6
2520-1131,2021,all,180,7
2520-1131,2022,core,102,11
2520-1131,2022,all,188,15
2520-1131,2023,core,110,15
2520-1131,2023,all,199,20
2520-1158,2019,core,124,0
2520-1158,2019,all,193,0
2520-1158,2020,core,120,1
2520-1158,2020,all,155,1
2520-1158,2021,core,124,4
2520-1158,2021,all,170,4
2520-1158,2022,core,120,13
2520-1158,2022,all,172,13
2520-1158,2023,core,125,15
2520-1158,2023,all,180,15
2520-1352,2022,core,33,3
2520-1352,2022,all,33,3
2520-1352,2023,core,28,0
2520-1352,2023,all,28,0
2520-811X,2019,core,23,4
2520-811X,2019,all,23,4
2520-811X,2020,core,25,11
2520-811X,2020,all,27,11
2520-811X,2021,core,29,15
2520-811X,2021,all,32,16
2520-811X,2022,core,37,29
2520-811X,2022,all,59,39
2520-811X,2023,core,34,34
2520-811X,2023,all,37,37
2520-8136,2019,core,21,4
2520-8136,2019,all,22,5
2520-8136,2020,core,25,8
