issn_l,earliest_year,pub_type,n,oa_articles
0001-9240,2020,all,88,9
0001-9240,2021,core,106,19
0001-9240,2021,all,122,19
0001-9240,2022,core,66,25
0001-9240,2022,all,68,25
0001-9240,2023,core,103,34
0001-9240,2023,all,107,36
0001-9720,2019,core,45,0
0001-9720,2019,all,45,0
0001-9720,2020,core,44,7
0001-9720,2020,all,45,7
0001-9720,2021,core,41,16
0001-9720,2021,all,41,16
0001-9720,2022,core,42,18
0001-9720,2022,all,43,18
0001-9720,2023,core,30,11
0001-9720,2023,all,32,12
0001-9909,2019,core,33,4
0001-9909,2019,all,33,4
0001-9909,2020,core,23,3
0001-9909,2020,all,23,3
0001-9909,2021,core,29,5
0001-9909,2021,all,35,6
0001-9909,2022,core,32,10
0001-9909,2022,all,33,10
0001-9909,2023,core,22,11
0001-9909,2023,all,25,11
0002-0184,2019,core,32,2
0002-0184,2019,all,34,2
0002-0184,2020,core,26,1
0002-0184,2020,all,30,1
0002-0184,2021,core,27,1
0002-0184,2021,all,28,1
0002-0184,2022,core,20,3
0002-0184,2022,all,21,3
0002-0184,2023,core,17,3
0002-0184,2023,all,17,3
0002-0206,2019,core,33,1
0002-0206,2019,all,36,1
0002-0206,2020,core,35,5
0002-0206,2020,all,50,5
0002-0206,2021,core,44,11
0002-0206,2021,all,54,12
0002-0206,2022,core,47,21
0002-0206,2022,all,55,23
0002-0206,2023,core,46,25
0002-0206,2023,all,52,27
0002-0443,2019,core,123,0
0002-0443,2019,all,131,0
0002-0443,2020,core,118,1
0002-0443,2020,all,128,1
0002-0443,2021,core,130,1
0002-0443,2021,all,137,1
0002-0443,2022,core,136,4
0002-0443,2022,all,140,5
0002-0443,2023,core,128,5
0002-0443,2023,all,134,5
0002-0729,2019,core,163,41
0002-0729,2019,all,191,42
0002-0729,2020,core,133,43
0002-0729,2020,all,165,51
0002-0729,2021,core,294,103
0002-0729,2021,all,341,108
0002-0729,2022,core,340,139
0002-0729,2022,all,381,146
0002-0729,2023,core,223,140
0002-0729,2023,all,281,161
0002-1466,2019,core,38,0
0002-1466,2019,all,38,0
0002-1466,2020,core,56,1
0002-1466,2020,all,56,1
0002-1466,2021,core,27,1
0002-1466,2021,all,28,1
0002-1466,2022,core,48,2
0002-1466,2022,all,50,2
0002-1466,2023,core,45,7
0002-1466,2023,all,45,7
0002-1873,2019,core,26,20
0002-1873,2019,all,27,21
0002-1873,2020,core,6,6
0002-1873,2020,all,6,6
0002-1873,2021,core,7,7
0002-1873,2021,all,17,7
0002-1873,2022,core,16,14
0002-1873,2022,all,17,14
0002-1873,2023,core,7,5
0002-1873,2023,all,8,5
0002-1962,2019,core,331,87
0002-1962,2019,all,335,88
0002-1962,2020,core,406,87
0002-1962,2020,all,414,89
0002-1962,2021,core,433,95
0002-1962,2021,all,437,95
0002-1962,2022,core,279,95
0002-1962,2022,all,284,95
0002-1962,2023,core,260,135
0002-1962,2023,all,276,136
0002-3973,2019,core,7,0
0002-3973,2019,all,7,0
0002-3973,2020,core,6,0
0002-3973,2020,all,6,0
0002-3973,2021,core,9,0
0002-3973,2021,all,9,0
0002-3973,2022,core,9,0
0002-3973,2022,all,9,0
0002-3973,2023,core,10,0
0002-3973,2023,all,11,0
0002-5232,2019,core,46,0
0002-5232,2019,all,46,0
0002-5232,2020,core,43,0
0002-5232,2020,all,44,0
0002-5232,2021,core,41,0
0002-5232,2021,all,41,0
0002-5232,2022,core,45,0
0002-5232,2022,all,45,0
0002-5232,2023,core,22,0
0002-5232,2023,all,23,0
0002-5240,2019,core,55,8
0002-5240,2019,all,55,8
0002-5240,2020,core,57,11
0002-5240,2020,all,57,11
0002-5240,2021,core,63,12
0002-5240,2021,all,64,12
0002-5240,2022,core,41,4
0002-5240,2022,all,41,4
0002-5240,2023,core,31,9
0002-5240,2023,all,31,9
0002-6980,2019,core,18,1
0002-6980,2019,all,18,1
0002-6980,2020,core,19,6
0002-6980,2020,all,21,6
0002-6980,2021,core,20,1
0002-6980,2021,all,21,1
0002-6980,2022,core,16,4
0002-6980,2022,all,18,4
0002-6980,2023,core,10,4
0002-6980,2023,all,13,6
0002-7162,2019,core,78,6
0002-7162,2019,all,85,6
0002-7162,2020,core,79,9
0002-7162,2020,all,83,9
0002-7162,2021,core,83,12
0002-7162,2021,all,87,12
0002-7162,2022,core,80,7
0002-7162,2022,all,84,8
0002-7162,2023,core,58,4
0002-7162,2023,all,60,4
0002-7189,2019,core,33,0
0002-7189,2019,all,34,0
0002-7189,2020,core,37,1
0002-7189,2020,all,38,1
0002-7189,2021,core,55,4
0002-7189,2021,all,58,4
0002-7189,2022,core,45,3
0002-7189,2022,all,47,3
0002-7189,2023,core,21,3
0002-7189,2023,all,24,3
0002-7294,2019,core,65,6
0002-7294,2019,all,124,6
0002-7294,2020,core,71,7
0002-7294,2020,all,116,8
0002-7294,2021,core,60,4
0002-7294,2021,all,95,7
0002-7294,2022,core,58,15
0002-7294,2022,all,70,18
0002-7294,2023,core,71,27
0002-7294,2023,all,107,40
0002-7316,2019,core,47,2
0002-7316,2019,all,49,2
0002-7316,2020,core,31,5
0002-7316,2020,all,37,5
0002-7316,2021,core,49,18
0002-7316,2021,all,57,20
0002-7316,2022,core,44,22
0002-7316,2022,all,48,24
0002-7316,2023,core,34,19
0002-7316,2023,all,40,20
0002-7642,2019,core,99,4
0002-7642,2019,all,110,5
0002-7642,2020,core,110,7
0002-7642,2020,all,114,7
0002-7642,2021,core,118,34
0002-7642,2021,all,125,35
0002-7642,2022,core,180,19
0002-7642,2022,all,189,19
0002-7642,2023,core,194,34
0002-7642,2023,all,201,35
0002-7766,2019,core,16,0
0002-7766,2019,all,16,0
0002-7766,2020,core,19,0
0002-7766,2020,all,20,0
0002-7766,2021,core,16,1
0002-7766,2021,all,16,1
0002-7766,2022,core,16,6
0002-7766,2022,all,16,6
0002-7766,2023,core,15,5
0002-7766,2023,all,15,5
0002-7820,2019,core,725,10
0002-7820,2019,all,729,10
0002-7820,2020,core,681,35
0002-7820,2020,all,693,35
0002-7820,2021,core,579,44
0002-7820,2021,all,589,44
0002-7820,2022,core,661,69
0002-7820,2022,all,673,69
0002-7820,2023,core,872,147
0002-7820,2023,all,884,147
0002-7863,2019,core,2467,160
0002-7863,2019,all,2518,164
0002-7863,2020,core,2508,216
0002-7863,2020,all,2576,220
0002-7863,2021,core,2373,166
0002-7863,2021,all,2425,167
0002-7863,2022,core,2522,234
0002-7863,2022,all,2571,236
0002-7863,2023,core,3094,665
0002-7863,2023,all,3145,667
0002-8312,2019,core,73,0
0002-8312,2019,all,74,0
0002-8312,2020,core,67,2
0002-8312,2020,all,70,2
0002-8312,2021,core,37,1
0002-8312,2021,all,38,1
0002-8312,2022,core,34,1
0002-8312,2022,all,34,1
0002-8312,2023,core,37,8
0002-8312,2023,all,37,8
0002-8487,2019,core,75,10
0002-8487,2019,all,77,10
0002-8487,2020,core,52,2
0002-8487,2020,all,52,2
0002-8487,2021,core,51,4
0002-8487,2021,all,54,4
0002-8487,2022,core,45,13
0002-8487,2022,all,48,13
0002-8487,2023,core,52,17
0002-8487,2023,all,52,17
0002-8614,2019,core,358,13
0002-8614,2019,all,521,14
