issn_l,earliest_year,pubtype,ta_articles,ta_oa_articles,ta_first_author_articles,ta_oa_first_author_articles,ta_corresponding_author_articles,ta_oa_corresponding_author_articles,ta_first_corresponding_author_articles,ta_oa_first_corresponding_author_articles
0003-3804,2023,all,79,59,77,58,77,59,61,47
0003-4266,2023,core,21,3,19,3,17,3,11,2
0003-4266,2023,all,26,3,24,3,22,3,13,2
0003-4347,2023,core,13,11,12,10,13,11,12,10
0003-4347,2023,all,13,11,12,10,13,11,12,10
0003-4452,2023,core,3,1,3,1,3,1,2,1
0003-4452,2023,all,3,1,3,1,3,1,2,1
0003-4487,2023,core,28,6,21,6,27,6,12,3
0003-4487,2023,all,28,6,21,6,27,6,12,3
0003-4746,2023,core,35,22,33,20,34,22,19,15
0003-4746,2023,all,38,22,36,20,37,22,22,15
0003-4800,2023,core,15,9,13,7,15,9,5,1
0003-4800,2023,all,16,10,14,8,16,10,6,2
0003-4894,2023,core,32,11,27,10,30,10,14,3
0003-4894,2023,all,36,12,31,11,34,11,17,4
0003-4916,2023,core,54,25,48,21,45,23,26,12
0003-4916,2023,all,55,25,49,21,45,23,26,12
0003-4932,2023,core,70,29,67,29,60,25,27,12
0003-4932,2023,all,72,29,69,29,61,25,28,12
0003-4967,2023,core,36,21,31,21,36,21,19,13
0003-4967,2023,all,54,22,47,22,53,22,31,14
0003-4975,2023,core,17,0,16,0,15,0,7,0
0003-4975,2023,all,71,0,69,0,34,0,13,0
0003-567X,2023,core,8,8,8,8,7,7,7,7
0003-567X,2023,all,8,8,8,8,7,7,7,7
0003-5696,2023,core,5,4,5,4,4,3,4,3
0003-5696,2023,all,5,4,5,4,4,3,4,3
0003-5815,2023,core,7,4,7,4,3,2,3,2
0003-5815,2023,all,7,4,7,4,3,2,3,2
0003-598X,2023,core,82,70,75,63,80,68,65,53
0003-598X,2023,all,84,72,77,65,82,70,67,55
0003-603X,2023,core,2,2,2,2,2,2,2,2
0003-603X,2023,all,2,2,2,2,2,2,2,2
0003-6072,2023,core,12,11,11,11,12,11,5,5
0003-6072,2023,all,12,11,11,11,12,11,5,5
0003-6390,2023,core,3,2,3,2,3,2,3,2
0003-6390,2023,all,3,2,3,2,3,2,3,2
0003-6811,2023,core,21,9,16,7,20,9,12,5
0003-6811,2023,all,21,9,16,7,20,9,12,5
0003-682X,2023,core,99,50,94,46,94,49,61,36
0003-682X,2023,all,100,50,95,46,94,49,61,36
0003-6846,2023,core,123,51,97,45,108,48,60,31
0003-6846,2023,all,123,51,97,45,108,48,60,31
0003-6862,2023,core,7,2,6,2,7,2,3,0
0003-6862,2023,all,8,2,7,2,8,2,4,0
0003-6870,2023,core,75,42,72,41,74,42,52,32
0003-6870,2023,all,81,43,78,42,79,43,56,33
0003-6951,2023,core,288,152,259,148,281,151,130,76
0003-6951,2023,all,300,155,268,151,290,153,134,76
0003-7028,2023,core,26,10,23,9,26,10,11,3
0003-7028,2023,all,26,10,23,9,26,10,11,3
0003-7982,2023,core,3,2,3,2,3,2,3,2
0003-7982,2023,all,3,2,3,2,3,2,3,2
0003-8032,2023,core,10,10,9,9,10,10,9,9
0003-8032,2023,all,10,10,9,9,10,10,9,9
0003-813X,2023,core,59,36,58,35,58,36,52,32
0003-813X,2023,all,59,36,58,35,58,36,52,32
0003-8628,2023,core,17,10,17,10,17,10,15,8
0003-8628,2023,all,18,10,18,10,18,10,16,8
0003-889X,2023,core,51,37,46,33,49,37,36,27
0003-889X,2023,all,55,40,50,36,53,40,40,30
0003-9101,2023,core,8,5,8,5,8,5,8,5
0003-9101,2023,all,8,5,8,5,8,5,8,5
0003-9519,2023,core,15,8,12,7,14,8,11,7
0003-9519,2023,all,17,9,14,8,16,9,13,8
0003-9527,2023,core,64,44,56,38,55,44,26,24
0003-9527,2023,all,66,46,57,39,57,46,26,24
0003-9756,2023,core,15,7,15,7,11,5,11,5
0003-9756,2023,all,15,7,15,7,11,5,11,5
0003-9861,2023,core,35,20,33,19,33,19,9,6
0003-9861,2023,all,36,20,33,19,34,19,9,6
0003-9888,2023,core,78,22,73,21,75,21,52,17
0003-9888,2023,all,119,23,113,22,115,22,85,18
0003-9969,2023,core,30,11,28,10,30,11,10,7
0003-9969,2023,all,30,11,28,10,30,11,10,7
0003-9993,2023,core,64,24,58,23,62,24,41,18
0003-9993,2023,all,72,24,62,23,70,24,44,18
0004-0002,2023,core,96,64,90,63,94,64,76,53
