issn_l,earliest_year,pubtype,ta_articles,ta_oa_articles,ta_first_author_articles,ta_oa_first_author_articles,ta_corresponding_author_articles,ta_oa_corresponding_author_articles,ta_first_corresponding_author_articles,ta_oa_first_corresponding_author_articles
0003-9861,2023,all,36,29,35,17,38,19,14,7
0003-9861,2023,core,36,29,35,17,38,19,14,7
0003-9888,2023,all,106,29,104,25,107,25,81,21
0003-9888,2023,core,58,27,57,23,58,23,41,19
0003-9969,2023,all,17,16,15,10,17,13,10,7
0003-9969,2023,core,17,16,15,10,17,13,10,7
0003-9993,2023,all,54,19,53,14,52,15,34,10
0003-9993,2023,core,52,19,51,14,50,15,32,10
0004-0002,2023,all,87,68,85,59,86,59,71,50
0004-0002,2023,core,65,56,64,48,64,48,52,40
0004-069X,2023,all,2,2,1,1,2,1,0,0
0004-069X,2023,core,2,2,1,1,2,1,0,0
0004-0894,2023,all,40,42,40,38,39,37,35,33
0004-0894,2023,core,38,40,38,36,37,35,33,31
0004-3079,2023,all,2,0,2,0,2,0,2,0
0004-3079,2023,core,2,0,2,0,2,0,2,0
0004-3249,2023,all,1,0,1,0,1,0,1,0
0004-3249,2023,core,1,0,1,0,1,0,1,0
0004-3702,2023,all,67,64,63,43,66,45,34,24
0004-3702,2023,core,64,64,60,43,63,45,33,24
0004-5411,2023,all,15,3,15,3,15,3,15,3
0004-5411,2023,core,15,3,15,3,15,3,15,3
0004-5632,2023,all,22,5,21,4,22,4,17,3
0004-5632,2023,core,20,5,19,4,20,4,15,3
0004-6264,2023,all,25,9,24,9,25,9,23,9
0004-6264,2023,core,24,9,23,9,24,9,22,9
0004-6280,2023,all,30,25,28,24,29,25,27,24
0004-6280,2023,core,30,25,28,24,29,25,27,24
0004-6337,2023,all,61,45,58,41,61,41,52,37
0004-6337,2023,core,59,42,56,39,59,39,51,36
0004-6361,2023,all,599,615,583,565,604,586,553,536
0004-6361,2023,core,590,605,574,556,595,577,545,528
0004-640X,2023,all,19,15,19,14,20,15,19,14
0004-640X,2023,core,17,14,17,13,18,14,17,13
0004-8038,2023,all,3,0,3,0,3,0,3,0
0004-8038,2023,core,3,0,3,0,3,0,3,0
0004-8380,2023,all,183,66,177,45,89,46,56,25
0004-8380,2023,core,61,46,58,33,58,31,37,18
0004-8402,2023,all,15,5,15,5,15,5,15,5
0004-8402,2023,core,9,3,9,3,9,3,9,3
0004-8666,2023,all,150,59,146,44,87,48,66,33
0004-8666,2023,core,69,55,65,41,70,45,51,31
0004-8674,2023,all,331,59,328,49,110,50,92,40
0004-8674,2023,core,67,44,67,34,68,35,55,25
0004-900X,2023,all,13,13,13,10,13,10,9,7
0004-900X,2023,core,13,13,13,10,13,10,9,7
0004-9018,2023,all,27,28,26,22,26,23,17,17
0004-9018,2023,core,24,25,23,19,23,20,14,14
0004-9158,2023,all,9,5,8,4,9,4,7,3
0004-9158,2023,core,8,5,7,4,8,4,6,3
0004-9182,2023,all,34,31,34,28,33,28,30,25
0004-9182,2023,core,33,31,33,28,32,28,29,25
0004-9425,2023,all,40,56,36,29,46,37,14,10
0004-9425,2023,core,32,52,30,27,36,34,9,9
